experience_years,skills,education,location,company_size,salary
6.0,"js, react, python",bachelor,tier1,large,83300.0
3.0,"react, js",bachelor,tier1,small,65600.0
12.0,"react, js, node",master,tier1,medium,128300.0
14.0,"js, python, node",bachelor,tier1,large,121000.0
10.0,"node, python",bachelor,,large,104300.0
7.0,"js, python",bachelor,,large,79600.0
12.0,"python, js, react",bachelor,tier2,large,110400.0
4.0,"js, react",bachelor,tier2,medium,60400.0
6.0,"node, python",master,,small,92600.0
,node,bachelor,tier2,small,88000.0
2.0,python,bachelor,tier1,large,63700.0
6.0,"node, react, python",,,medium,84000.0
10.0,"python, react, js",bachelor,tier2,small,93400.0
10.0,python,bachelor,tier1,small,106500.0
7.0,"react, node",bachelor,,small,78800.0
4.0,"node, react, js",,tier2,small,64900.0
3.0,"python, js",master,tier2,small,66400.0
7.0,,bachelor,tier2,small,77500.0
7.0,"python, react",master,tier2,medium,89300.0
2.0,,master,tier2,large,58600.0
5.0,"react, js, python",bachelor,tier1,small,78400.0
4.0,"node, react, js",bachelor,tier1,medium,72800.0
1.0,"node, python, react",master,tier2,medium,57500.0
7.0,"js, node",master,tier1,large,99800.0
11.0,"react, node",master,tier1,large,118300.0
,"react, node, python",bachelor,tier1,small,120200.0
5.0,"python, react",bachelor,tier2,large,66500.0
1.0,"python, react, node",,tier1,large,65100.0
15.0,"python, react",bachelor,tier1,medium,132000.0
11.0,js,bachelor,tier2,medium,101700.0
4.0,"react, node, js",master,tier1,medium,89700.0
0.0,"react, js, python",bachelor,tier1,small,50500.0
11.0,"node, react, python",master,tier1,small,123300.0
,react,master,tier1,large,111300.0
5.0,"react, node",master,tier1,large,83700.0
12.0,python,bachelor,tier1,small,115900.0
11.0,react,master,tier1,small,122700.0
8.0,"js, node",bachelor,tier2,medium,91400.0
0.0,"python, node, js",master,tier1,small,61400.0
10.0,,bachelor,tier1,small,105900.0
10.0,"python, react, node",,tier1,large,116900.0
14.0,"python, js",master,,large,135500.0
9.0,python,bachelor,tier2,medium,92900.0
15.0,,bachelor,,small,124800.0
11.0,"node, js",,tier2,large,102900.0
11.0,"js, node, python",bachelor,tier1,small,107800.0
,"python, js, node",master,tier2,small,138700.0
14.0,,bachelor,tier1,medium,122800.0
,"react, python, node",bachelor,tier2,small,113300.0
13.0,"node, react",bachelor,tier2,medium,118100.0
14.0,"node, react, js",master,tier1,large,136000.0
13.0,"js, node, python",master,tier2,large,121800.0
2.0,"js, node",master,tier2,large,63300.0
11.0,react,master,tier2,large,111000.0
,"js, node, python",bachelor,tier1,medium,78300.0
3.0,"node, python",master,tier1,medium,78700.0
15.0,"node, react, js",,tier2,large,131300.0
8.0,,,tier1,large,95400.0
2.0,"python, node, react",master,tier1,large,70200.0
,react,bachelor,tier1,medium,76600.0
2.0,"react, node",bachelor,tier2,large,48700.0
6.0,,bachelor,tier1,medium,82000.0
4.0,"react, node, js",bachelor,tier2,small,64400.0
,js,master,tier1,large,102300.0
6.0,python,master,tier1,medium,95700.0
1.0,"python, react, js",master,tier2,medium,61400.0
3.0,"python, node",bachelor,tier2,medium,51700.0
8.0,"python, node",master,tier1,small,106600.0
11.0,"node, react, js",bachelor,tier2,large,101300.0
13.0,"js, react, python",bachelor,tier2,medium,113800.0
1.0,"python, js, node",bachelor,tier1,large,51800.0
9.0,js,master,tier2,medium,97500.0
8.0,"python, node, js",master,tier1,large,107600.0
9.0,node,master,tier1,small,112400.0
4.0,"node, react, js",bachelor,tier2,medium,62800.0
1.0,,bachelor,,medium,56500.0
3.0,node,master,tier1,small,76500.0
11.0,"node, react",bachelor,tier1,large,111200.0
14.0,"js, node",master,tier2,medium,129900.0
11.0,"node, python",master,tier2,small,110400.0
6.0,"python, node",master,tier1,medium,100600.0
,"js, react",bachelor,tier2,medium,101900.0
12.0,python,master,tier1,medium,124400.0
7.0,"python, js",bachelor,tier2,large,80500.0
14.0,"js, python",,tier2,small,114100.0
2.0,"node, react, js",master,tier2,small,65400.0
13.0,python,,tier1,small,137000.0
0.0,"node, python, react",master,tier1,small,59500.0
3.0,react,master,tier2,medium,71400.0
1.0,,bachelor,tier2,large,46700.0
,"node, js",bachelor,tier1,small,91000.0
,react,master,tier1,large,84200.0
1.0,"react, node, js",,tier2,small,44800.0
13.0,"node, js, python",bachelor,tier1,small,119200.0
5.0,node,bachelor,tier2,medium,64800.0
5.0,react,,tier1,medium,75100.0
,"python, node",bachelor,tier2,medium,89300.0
3.0,"python, react, node",master,,large,69500.0
5.0,"react, node",,,medium,78300.0
12.0,,master,tier1,medium,130500.0
14.0,"react, js, node",master,tier1,small,139000.0
1.0,"python, node",master,tier1,small,71900.0
9.0,"js, react",master,tier1,medium,110700.0
,,bachelor,tier2,medium,108700.0
1.0,node,bachelor,tier1,large,57400.0
9.0,"node, react, python",master,tier2,large,98900.0
13.0,"node, react, python",master,tier1,small,130300.0
3.0,react,bachelor,tier1,large,67900.0
13.0,"node, js, react",master,tier2,medium,122800.0
14.0,python,master,tier2,medium,131100.0
15.0,"node, python, react",bachelor,tier1,small,133900.0
14.0,"react, node",master,tier2,medium,128800.0
7.0,react,bachelor,tier1,medium,86000.0
13.0,"python, js, react",master,tier1,medium,129000.0
6.0,node,bachelor,tier1,medium,81700.0
11.0,react,bachelor,tier2,large,103100.0
8.0,"react, js",master,tier2,large,96600.0
13.0,"python, react",bachelor,,large,117800.0
7.0,"node, python, js",bachelor,,large,89000.0
4.0,"node, react",master,tier1,large,85200.0
15.0,"node, python, js",bachelor,tier1,small,129800.0
12.0,"js, node, react",,tier2,medium,106500.0
,js,master,tier1,small,67700.0
14.0,,master,,medium,135600.0
4.0,"js, react, node",bachelor,tier2,medium,63100.0
7.0,"python, js, node",bachelor,tier2,medium,80200.0
,"js, react",master,tier1,small,114700.0
8.0,"python, react",master,tier2,medium,99200.0
11.0,react,bachelor,,medium,106400.0
11.0,"node, python, js",bachelor,tier1,large,107700.0
11.0,react,bachelor,tier2,large,102000.0
12.0,node,bachelor,,medium,117500.0
8.0,"react, node, js",bachelor,tier2,large,85500.0
12.0,node,master,tier1,small,139600.0
14.0,"python, react, node",,tier1,medium,128700.0
12.0,"js, react, python",bachelor,tier2,small,109400.0
0.0,"react, js, node",bachelor,tier2,large,42900.0
8.0,"python, node",master,tier2,large,98000.0
6.0,"python, react",,tier1,small,82100.0
8.0,"react, node",master,tier1,medium,108300.0
7.0,"js, node",master,tier1,large,98200.0
0.0,,bachelor,tier1,large,49300.0
11.0,"python, js",bachelor,tier2,large,99000.0
7.0,"node, react, js",master,tier2,small,90700.0
7.0,"js, python, react",master,tier2,small,97400.0
14.0,"react, python",master,tier1,large,133400.0
10.0,"react, python",master,tier2,medium,109100.0
2.0,python,,tier2,small,58200.0
0.0,"react, python, js",bachelor,tier2,medium,38600.0
7.0,"js, react, python",bachelor,tier2,small,81800.0
2.0,python,bachelor,tier1,small,61200.0
2.0,,bachelor,tier1,medium,57800.0
0.0,"node, js",master,tier2,medium,49900.0
10.0,react,bachelor,tier1,medium,107000.0
4.0,"python, node, react",bachelor,,small,59800.0
,python,bachelor,tier1,medium,100100.0
6.0,"python, node",,tier1,medium,83100.0
,"js, react",bachelor,,medium,87500.0
8.0,,bachelor,tier2,medium,90400.0
11.0,node,bachelor,tier2,medium,102400.0
6.0,"python, js, react",bachelor,tier2,medium,66900.0
8.0,python,bachelor,tier1,medium,94600.0
7.0,"js, react, python",master,tier2,small,88500.0
11.0,"python, node, react",bachelor,tier1,medium,113100.0
1.0,"python, js, node",bachelor,tier2,small,43100.0
0.0,"js, python",master,tier1,large,61700.0
15.0,"python, node, js",master,,large,136000.0
6.0,"js, python, react",bachelor,tier1,small,85600.0
6.0,"python, node, react",bachelor,tier1,medium,79400.0
13.0,react,,tier2,small,122500.0
7.0,,bachelor,tier2,large,77100.0
4.0,"node, js",master,tier1,small,82000.0
2.0,react,master,tier2,large,68300.0
11.0,"react, node, python",bachelor,tier2,small,101700.0
,"node, python",,tier1,small,84700.0
5.0,,bachelor,,small,70300.0
10.0,"node, react",master,tier2,small,113400.0
2.0,python,master,tier2,small,66100.0
0.0,node,master,tier2,large,47400.0
2.0,,master,tier2,small,61500.0
4.0,python,master,tier2,small,77800.0
14.0,"python, js, react",bachelor,tier1,small,124900.0
13.0,"react, js",bachelor,tier1,medium,122800.0
2.0,"js, python",bachelor,tier2,large,53300.0
0.0,js,master,tier2,small,49200.0
4.0,python,,tier1,large,83800.0
9.0,react,bachelor,tier2,small,79800.0
6.0,"react, js, python",bachelor,tier2,medium,69900.0
14.0,"react, js, node",bachelor,tier1,large,126200.0
13.0,js,bachelor,tier2,medium,107800.0
6.0,"react, js",master,tier2,medium,89900.0
10.0,"python, js, node",bachelor,tier1,small,100700.0
8.0,"js, node, python",master,tier2,large,94700.0
14.0,,bachelor,,large,117400.0
14.0,"js, node",master,tier2,large,133300.0
9.0,"js, node",master,tier2,large,97200.0
9.0,"node, python, js",bachelor,tier2,small,93000.0
,,bachelor,tier1,small,110500.0
12.0,"js, react",master,tier2,medium,115100.0
,"react, python, js",bachelor,tier1,small,62400.0
