experience,js,react,python,node,education,location,company_size,salary
1,1,0,1,0,bachelor,tier2,small,3.2
2,1,1,0,1,bachelor,tier1,medium,4.5
3,1,1,1,1,master,tier1,large,8.5
4,1,1,1,0,bachelor,tier2,medium,6.2
5,1,1,1,1,master,tier1,large,12.0
6,1,1,1,1,master,tier1,large,14.5
2,0,1,1,0,bachelor,tier2,small,4.0
3,1,0,1,1,bachelor,tier2,medium,5.5
7,1,1,1,1,master,tier1,large,18.0
8,1,1,1,1,master,tier1,large,20.0

NaN,1,1,0,1,bachelor,tier2,small,NaN
3,NaN,1,1,0,master,tier1,medium,7.0
4,1,NaN,1,1,bachelor,tier2,medium,6.5
5,1,1,NaN,1,master,tier1,large,11.5
6,1,1,1,NaN,master,tier1,large,13.5
2,0,1,NaN,0,bachelor,tier2,small,3.8
NaN,1,0,1,1,bachelor,tier2,medium,5.0
7,1,1,1,1,NaN,tier1,large,17.5
8,1,1,1,1,master,NaN,large,19.0
9,1,1,1,1,master,tier1,NaN,21.0
